Ticker,Sector,Industry,MarketCap
A,Healthcare,Diagnostics & Research,42964791296
AAPL,Technology,Consumer Electronics,4029017227264
ABBV,Healthcare,Drug Manufacturers - General,417597620224
ABNB,Consumer Cyclical,Travel Services,69954043904
ABT,Healthcare,Medical Devices,222970200064
ACGL,Financial Services,Insurance - Diversified,34507948032
ACN,Technology,Information Technology Services,156865445888
ADBE,Technology,Software - Application,137521397760
ADI,Technology,Semiconductors,114291089408
ADM,Consumer Defensive,Farm Products,28175804416
ADP,Technology,Software - Application,102536249344
ADSK,Technology,Software - Application,62215069696
AEE,Utilities,Utilities - Regulated Electric,28274833408
AEP,Utilities,Utilities - Regulated Electric,64681492480
AES,Utilities,Utilities - Diversified,9791663104
AFL,Financial Services,Insurance - Life,59355598848
AIG,Financial Services,Insurance - Diversified,42082131968
AIZ,Financial Services,Insurance - Property & Casualty,11445158912
AJG,Financial Services,Insurance Brokers,64563343360
AKAM,Technology,Software - Infrastructure,12805444608
ALB,Basic Materials,Specialty Chemicals,13749426176
ALGN,Healthcare,Medical Instruments & Supplies,10333656064
ALL,Financial Services,Insurance - Property & Casualty,56474464256
ALLE,Industrials,Security & Protection Services,14012023808
AMAT,Technology,Semiconductor Equipment & Materials,178451890176
AMCR,Consumer Cyclical,Packaging & Containers,19621058560
AMD,Technology,Semiconductors,331762302976
AME,Industrials,Specialty Industrial Machinery,45040640000
AMGN,Healthcare,Drug Manufacturers - General,181758754816
AMP,Financial Services,Asset Management,42192183296
AMT,Real Estate,REIT - Specialty,84060405760
AMZN,Consumer Cyclical,Internet Retail,2359223910400
ANET,Technology,Computer Hardware,147877855232
ANSS,,,
AON,Financial Services,Insurance Brokers,74716774400
AOS,Industrials,Specialty Industrial Machinery,9122436096
APA,Energy,Oil & Gas E&P,8568986112
APD,Basic Materials,Specialty Chemicals,57288048640
APH,Technology,Electronic Components,161085718528
APTV,Consumer Cyclical,Auto Parts,16142533632
ARE,Real Estate,REIT - Office,8795067392
